NumberOfFlows,Deadline,DCT,RealFlow
10,100.000us,0.8824,0.7088
10,200.000us,1,0.9448
10,300.000us,1,0.9976
10,400.000us,1,1
10,500.000us,1,1
10,600.000us,1,1
10,700.000us,1,1
10,800.000us,1,1
10,900.000us,1,1
10,1.000ms,1,1
10,1.100ms,1,1
10,1.200ms,1,1
10,1.300ms,1,1
10,1.400ms,1,1
10,1.500ms,1,1
10,1.600ms,1,1
10,1.700ms,1,1
10,1.800ms,1,1
10,1.900ms,1,1
10,2.000ms,1,1
10,2.100ms,1,1
10,2.200ms,1,1
10,2.300ms,1,1
10,2.400ms,1,1
10,2.500ms,1,1
10,2.600ms,1,1
10,2.700ms,1,1
10,2.800ms,1,1
10,2.900ms,1,1
10,3.000ms,1,1
20,100.000us,0.7792,0.5596
20,200.000us,0.9892,0.7592
20,300.000us,1,0.8952
20,400.000us,1,0.9644
20,500.000us,1,0.9908
20,600.000us,1,0.9996
20,700.000us,1,1
20,800.000us,1,1
20,900.000us,1,1
20,1.000ms,1,1
20,1.100ms,1,1
20,1.200ms,1,1
20,1.300ms,1,1
20,1.400ms,1,1
20,1.500ms,1,1
20,1.600ms,1,1
20,1.700ms,1,1
20,1.800ms,1,1
20,1.900ms,1,1
20,2.000ms,1,1
20,2.100ms,1,1
20,2.200ms,1,1
20,2.300ms,1,1
20,2.400ms,1,1
20,2.500ms,1,1
20,2.600ms,1,1
20,2.700ms,1,1
20,2.800ms,1,1
20,2.900ms,1,1
20,3.000ms,1,1
30,100.000us,0.6872,0.453867
30,200.000us,0.938133,0.653333
30,300.000us,0.996267,0.7768
30,400.000us,1,0.886667
30,500.000us,1,0.941067
30,600.000us,1,0.975733
30,700.000us,1,0.993067
30,800.000us,1,0.9968
30,900.000us,1,1
30,1.000ms,1,1
30,1.100ms,1,1
30,1.200ms,1,1
30,1.300ms,1,1
30,1.400ms,1,1
30,1.500ms,1,1
30,1.600ms,1,1
30,1.700ms,1,1
30,1.800ms,1,1
30,1.900ms,1,1
30,2.000ms,1,1
30,2.100ms,1,1
30,2.200ms,1,1
30,2.300ms,1,1
30,2.400ms,1,1
30,2.500ms,1,1
30,2.600ms,1,1
30,2.700ms,1,1
30,2.800ms,1,1
30,2.900ms,1,1
30,3.000ms,1,1
40,100.000us,0.6366,0.3926
40,200.000us,0.8938,0.5772
40,300.000us,0.9788,0.701
40,400.000us,0.9988,0.7874
40,500.000us,1,0.858
40,600.000us,1,0.9164
40,700.000us,1,0.9568
40,800.000us,1,0.9734
40,900.000us,1,0.9908
40,1.000ms,1,0.9968
40,1.100ms,1,0.9976
40,1.200ms,1,1
40,1.300ms,1,1
40,1.400ms,1,1
40,1.500ms,1,1
40,1.600ms,1,1
40,1.700ms,1,1
40,1.800ms,1,1
40,1.900ms,1,1
40,2.000ms,1,1
40,2.100ms,1,1
40,2.200ms,1,1
40,2.300ms,1,1
40,2.400ms,1,1
40,2.500ms,1,1
40,2.600ms,1,1
40,2.700ms,1,1
40,2.800ms,1,1
40,2.900ms,1,1
40,3.000ms,1,1
50,100.000us,0.59584,0.34592
50,200.000us,0.84048,0.5288
50,300.000us,0.94992,0.6368
50,400.000us,0.98928,0.71936
50,500.000us,0.99952,0.79408
50,600.000us,1,0.84816
50,700.000us,1,0.89808
50,800.000us,1,0.93152
50,900.000us,1,0.95552
50,1.000ms,1,0.97248
50,1.100ms,1,0.98768
50,1.200ms,1,0.99424
50,1.300ms,1,0.99712
50,1.400ms,1,0.99968
50,1.500ms,1,1
50,1.600ms,1,1
50,1.700ms,1,1
50,1.800ms,1,1
50,1.900ms,1,1
50,2.000ms,1,1
50,2.100ms,1,1
50,2.200ms,1,1
50,2.300ms,1,1
50,2.400ms,1,1
50,2.500ms,1,1
50,2.600ms,1,1
50,2.700ms,1,1
50,2.800ms,1,1
50,2.900ms,1,1
50,3.000ms,1,1
60,100.000us,0.556667,0.3088
60,200.000us,0.8112,0.4892
60,300.000us,0.919333,0.5832
60,400.000us,0.9764,0.676933
60,500.000us,0.9968,0.736933
60,600.000us,1,0.787467
60,700.000us,1,0.8416
60,800.000us,1,0.886267
60,900.000us,1,0.92
60,1.000ms,1,0.943067
60,1.100ms,1,0.9596
60,1.200ms,1,0.978667
60,1.300ms,1,0.987333
60,1.400ms,1,0.991067
60,1.500ms,1,0.993867
60,1.600ms,1,0.9984
60,1.700ms,1,0.999867
60,1.800ms,1,1
60,1.900ms,1,1
60,2.000ms,1,1
60,2.100ms,1,1
60,2.200ms,1,1
60,2.300ms,1,1
60,2.400ms,1,1
60,2.500ms,1,1
60,2.600ms,1,1
60,2.700ms,1,1
60,2.800ms,1,1
60,2.900ms,1,1
60,3.000ms,1,1
70,100.000us,0.530857,0.276457
70,200.000us,0.770857,0.448686
70,300.000us,0.888686,0.550286
70,400.000us,0.948114,0.635771
70,500.000us,0.987086,0.687657
70,600.000us,0.998857,0.7376
70,700.000us,1,0.796571
70,800.000us,1,0.838971
70,900.000us,1,0.880114
70,1.000ms,1,0.9136
70,1.100ms,1,0.932914
70,1.200ms,1,0.953029
70,1.300ms,1,0.965486
70,1.400ms,1,0.977486
70,1.500ms,1,0.985486
70,1.600ms,1,0.992686
70,1.700ms,1,0.995429
70,1.800ms,1,0.997943
70,1.900ms,1,0.998857
70,2.000ms,1,1
70,2.100ms,1,1
70,2.200ms,1,1
70,2.300ms,1,1
70,2.400ms,1,1
70,2.500ms,1,1
70,2.600ms,1,1
70,2.700ms,1,1
70,2.800ms,1,1
70,2.900ms,1,1
70,3.000ms,1,1
80,100.000us,0.5162,0.251
80,200.000us,0.7379,0.4132
80,300.000us,0.8658,0.5135
80,400.000us,0.924,0.597
80,500.000us,0.9727,0.6458
80,600.000us,0.9919,0.7083
80,700.000us,0.9994,0.7541
80,800.000us,1,0.8026
80,900.000us,1,0.8359
80,1.000ms,1,0.8718
80,1.100ms,1,0.9046
80,1.200ms,1,0.9235
80,1.300ms,1,0.9379
80,1.400ms,1,0.9551
80,1.500ms,1,0.9678
80,1.600ms,1,0.9781
80,1.700ms,1,0.9883
80,1.800ms,1,0.9925
80,1.900ms,1,0.994
80,2.000ms,1,0.9959
80,2.100ms,1,0.999
80,2.200ms,1,0.9996
80,2.300ms,1,0.9997
80,2.400ms,1,1
80,2.500ms,1,1
80,2.600ms,1,1
80,2.700ms,1,1
80,2.800ms,1,1
80,2.900ms,1,1
80,3.000ms,1,1
90,100.000us,0.490844,0.228178
90,200.000us,0.701511,0.386489
90,300.000us,0.840978,0.482222
90,400.000us,0.908978,0.567733
90,500.000us,0.953244,0.620533
90,600.000us,0.983111,0.677511
90,700.000us,0.995911,0.716622
90,800.000us,0.999289,0.761778
90,900.000us,1,0.803911
90,1.000ms,1,0.834578
